from_stop_id,from_stop_name,to_stop_id,to_stop_name,min_travel_time_seconds,line
B20S,20 Av,B21S,Bay Pkwy,60,NA
N06S,20 Av,N07S,Bay Pkwy,90,NA
108N,207 St,107N,215 St,60,NA
108S,207 St,109S,Dyckman St,90,NA
G24N,21 St,G22N,Court Sq,60,NA
G24S,21 St,G26S,Greenpoint Av,150,NA
B04N,21 St-Queensbridge,G20N,36 St,150,NA
B04N,21 St-Queensbridge,G14N,Jackson Hts-Roosevelt Av,360,NA
B04S,21 St-Queensbridge,B06S,Roosevelt Island,120,NA
107S,215 St,108S,207 St,60,NA
107N,215 St,106N,Marble Hill-225 St,90,NA
207N,219 St,206N,225 St,60,NA
207S,219 St,208S,Gun Hill Rd,90,NA
206S,225 St,207S,219 St,60,NA
206N,225 St,205N,233 St,60,NA
A30S,23 St,A31S,14 St,90,NA
D18S,23 St,D19S,14 St,90,NA
634S,23 St,635S,14 St-Union Sq,90,NA
R19S,23 St,R20S,14 St-Union Sq,90,NA
130S,23 St,131S,18 St,60,NA
130N,23 St,129N,28 St,60,NA
634N,23 St,633N,28 St,60,NA
R19N,23 St,R18N,28 St,60,NA
D18N,23 St,D17N,34 St-Herald Sq,90,NA
A30N,23 St,A28N,34 St-Penn Station,90,NA
104N,231 St,103N,238 St,90,NA
104S,231 St,106S,Marble Hill-225 St,90,NA
205S,233 St,206S,225 St,60,NA
205N,233 St,204N,Nereid Av,90,NA
103S,238 St,104S,231 St,90,NA
103N,238 St,101N,Van Cortlandt Park-242 St,90,NA
B22S,25 Av,B23S,Bay 50 St,120,NA
B22N,25 Av,B21N,Bay Pkwy,90,NA
R35S,25 St,R36S,36 St,90,NA
R35N,25 St,R34N,Prospect Av,90,NA
129S,28 St,130S,23 St,60,NA
633S,28 St,634S,23 St,60,NA
R18S,28 St,R19S,23 St,60,NA
633N,28 St,632N,33 St,60,NA
R18N,28 St,R17N,34 St-Herald Sq,60,NA
129N,28 St,128N,34 St-Penn Station,60,NA
L05S,3 Av,L06S,1 Av,60,NA
L05N,3 Av,L03N,14 St-Union Sq,60,NA
619S,3 Av-138 St,621S,125 St,180,NA
619N,3 Av-138 St,618N,Brook Av,90,NA
619N,3 Av-138 St,613N,Hunts Point Av,420,NA
221S,3 Av-149 St,222S,149 St-Grand Concourse,90,NA
221N,3 Av-149 St,213N,E 180 St,600,NA
221N,3 Av-149 St,220N,Jackson Av,120,NA
R04N,30 Av,R03N,Astoria Blvd,60,NA
R04S,30 Av,R05S,Broadway,90,NA
632S,33 St,633S,28 St,60,NA
632N,33 St,631N,Grand Central-42 St,120,NA
716N,33 St-Rawson St,715N,40 St-Lowery St,60,NA
716S,33 St-Rawson St,718S,Queensboro Plaza,120,NA
R17S,34 St-Herald Sq,R20S,14 St-Union Sq,150,NA
D17S,34 St-Herald Sq,D18S,23 St,90,NA
R17S,34 St-Herald Sq,R18S,28 St,60,NA
D17N,34 St-Herald Sq,D16N,42 St-Bryant Pk,90,NA
R17N,34 St-Herald Sq,R16N,Times Sq-42 St,90,NA
D17S,34 St-Herald Sq,D20S,W 4 St-Wash Sq,180,NA
726N,34 St-Hudson Yards,725N,Times Sq-42 St,150,NA
128S,34 St-Penn Station,132S,14 St,150,NA
A28S,34 St-Penn Station,A31S,14 St,150,NA
A28S,34 St-Penn Station,A30S,23 St,90,NA
128S,34 St-Penn Station,129S,28 St,60,NA
A28N,34 St-Penn Station,A27N,42 St-Port Authority Bus Terminal,60,NA
128N,34 St-Penn Station,127N,Times Sq-42 St,60,NA
R06S,36 Av,R08S,39 Av-Dutch Kills,60,NA
R06N,36 Av,R05N,Broadway,90,NA
G20S,36 St,B04S,21 St-Queensbridge,150,NA
R36N,36 St,R35N,25 St,90,NA
R36S,36 St,R39S,45 St,120,NA
R36S,36 St,R41S,59 St,210,NA
R36S,36 St,B12S,9 Av,240,NA
R36N,36 St,R31N,Atlantic Av-Barclays Ctr,300,NA
G20S,36 St,G21S,Queens Plaza,120,NA
G20N,36 St,G19N,Steinway St,120,NA
R08N,39 Av-Dutch Kills,R06N,36 Av,60,NA
R08S,39 Av-Dutch Kills,R09S,Queensboro Plaza,120,NA
F23S,4 Av-9 St,F24S,7 Av,90,NA
R33S,4 Av-9 St,R34S,Prospect Av,90,NA
F23N,4 Av-9 St,F22N,Smith-9 Sts,90,NA
R33N,4 Av-9 St,R32N,Union St,90,NA
715S,40 St-Lowery St,716S,33 St-Rawson St,60,NA
715N,40 St-Lowery St,714N,46 St-Bliss St,60,NA
D16S,42 St-Bryant Pk,D17S,34 St-Herald Sq,90,NA
D16N,42 St-Bryant Pk,D15N,47-50 Sts-Rockefeller Ctr,90,NA
